date,location,category,status,image_URL,target_URL
6/12/22,Davis,Drone Imaging,Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,Êhttps://ucdavis.app.box.com/folder/179269155158Ê
6/13/22,Kearney,Drone Imaging,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,Êhttps://ucdavis.app.box.com/folder/179269155158Ê
6/13/22,Kearney,Rover Imaging,Not Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,Êhttps://ucdavis.app.box.com/folder/179269155158Ê
6/15/22,Davis,Drone Imaging,Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,Êhttps://ucdavis.app.box.com/folder/179269155158Ê
6/18/22,Davis,Drone Imaging,Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,Êhttps://ucdavis.app.box.com/folder/179269155158Ê
6/18/22,Davis,Rover Imaging,Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,Êhttps://ucdavis.app.box.com/folder/179269155158Ê
6/21/22,Kearney,Drone Imaging,Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,Êhttps://ucdavis.app.box.com/folder/179269155158Ê
6/21/22,Kearney,Rover Imaging,Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,Êhttps://ucdavis.app.box.com/folder/179269155158Ê
6/22/22,Davis,Drone Imaging,Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,Êhttps://ucdavis.app.box.com/folder/179269155158Ê
6/28/22,Davis,Drone Imaging,Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,Êhttps://ucdavis.app.box.com/folder/179269155158Ê
6/28/22,Davis,Drone Imaging,Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,Êhttps://ucdavis.app.box.com/folder/179269155158Ê
6/28/22,Davis,Rover Imaging,Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,Êhttps://ucdavis.app.box.com/folder/179269155158Ê
6/29/22,Davis,Drone Imaging,Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,Êhttps://ucdavis.app.box.com/folder/179269155158Ê
6/29/22,Davis,Physio Measurement,Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,Êhttps://ucdavis.app.box.com/folder/179269155158Ê
6/29/22,Davis,Rover Imaging,Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,Êhttps://ucdavis.app.box.com/folder/179269155158Ê
6/29/22,Kearney,Drone Imaging,Processed,https://drive.google.com/file/d/1778hDZm_NIXtMPOgvuSk0a8aAmdi0ouD/view?usp=drive_link,Êhttps://ucdavis.app.box.com/folder/179269155158Ê
